DPUB,Y,K,L,M
0,79438.6258016443,24194.9690491124,243.000135268284,50860.9135058787
0,14400.007407879,7149.99545483186,56.9999847334327,10192.0063413426
0,6408.0032761024,62725.2903399802,117.000007628663,9696.00282823541
0,9996.99673130962,34943.9280467237,246.000114160665,6424.00478185652
1,8814.99916405622,2056.00076776183,47.9999994764212,1179.00011726645
1,20861.9874570201,7760.99634570189,188.00000698797,5752.00057864616
1,17591.0055130395,8038.00341607721,51.0000187310628,14058.0012970495
1,2493.99968515751,10181.9925217078,84.9999781983259,764.000161076796
1,1634.99986375324,2399.99996079351,53.0000045817377,510.00013988365
0,8045.99716370718,3826.00325210062,80.0000292260948,220.000099802503
1,40261.058884383,18130.0126230369,158.999967846986,12945.001395657
0,26888.9311635632,2053.99919793677,33.0000144716093,26453.9297756754
0,115108.449258988,79495.0472532086,246.999916852904,15444.0022025597
1,7518.99677150731,4013.00252711966,47.9999994764212,1702.99884083184
0,12199.9971851999,14877.0048326865,63.0000172373358,3547.99878151245
0,23297.9347899276,9937.99928285143,251.000015277923,9523.00757846312
0,30628.0029944074,9056.99802217831,155.999998869072,12924.0086985736
0,8440.99945991344,3240.99934161831,49.9999997285927,7592.00500852177
0,5255.9970557765,1612.99987398404,19.9999945289209,4412.99995909349
0,34129.9303099984,8229.99758308708,130.000071440794,29754.9266814211
0,23431.1122133092,18105.0104610767,236.000046013961,15860.991357287
0,8982.99837201819,229.999928947676,45.0000229603415,5472.99895386944
0,66643.9800701841,19446.0063711017,330.999875750216,5409.99798834313
0,13158.9971819986,5666.99911498684,73.9999931028917,12547.0016040123
0,41316.2019065578,18549.99873794,300.999920310599,17536.996252882
1,719.999847352744,2998.00096336985,19.0000003958376,228.000084598403
0,9499.00181535233,897.999938664626,24.0000040716496,4163.99821058443
0,11383.998408862,4561.99816222452,34.0000161630544,7912.99797736471
0,18942.0007996167,6184.9982383478,104.999963233466,3274.00079253374
0,24789.1168712561,936.999735542636,48.9999853925815,16098.9929608378
0,41257.1619614532,21012.0003766642,8.00000366656215,38015.9086582181
0,6589.0008505489,460.000234837815,64.999982456786,2360.00024067362
0,12889.9987634207,13421.9942189018,107.000017712578,10271.0033979986
0,6926.00190491091,1559.00020413894,29.9999885501375,5043.99648390545
1,85754.1705502495,50074.1406936321,226.000000164463,23918.0815000362
0,24725.985150388,3470.99994494374,80.9999874715334,15753.9908585351
1,1058.99963400817,210.999971836552,25.9999860114452,975.000515777235
0,30766.1395820991,8500.99929766986,92.9999541367585,21266.0035682005
0,6594.99957032643,1941.00080906912,28.0000137150977,3074.00023332109
1,1660.00019695803,818.999931324339,16.0000044441641,1147.99933774251
0,12980.99962494,203.000004254517,59.0000328095717,9606.99732531801
0,8975.99436520577,1200.00019706871,25.9999860114452,5504.99972939193
1,74644.3415229557,25909.1119873778,456.000086861448,57702.7435561939
1,3514.00256962383,233.999973006299,52.0000146337678,393.00015253541
0,7937.00278516621,2417.99992461948,46.9999717196358,3711.00125780433
0,10676.9981402984,286.999938076995,59.0000328095717,1619.00007499591
0,9983.00074536649,396.999888567201,46.9999717196358,6539.00308927754
0,44781.9305005715,6386.00400226884,173.000070151899,21263.0052730822
0,22864.9397258323,24210.9429995086,47.9999994764212,21018.9985379188
1,22356.8938020371,18751.0119385833,369.000131349069,6011.99548575403
0,143935.419173498,85732.7346872065,267.000091207149,40595.804385856
0,16793.00987605,4365.99765497886,64.999982456786,13747.991229195
0,33809.9359063784,2000.00108091613,64.999982456786,31199.8947376933
0,11209.9942148993,6053.99703607334,25.0000043782954,8960.99904221057
0,14361.9984392778,714.99961197389,9.99999907005959,11180.9978963245
0,311221.451354979,787642.826325893,563.000209357393,225289.157378409
0,42302.8610557988,145.000037349022,9.99999907005959,39971.021178381
0,5600.00069034989,981.999697195961,56.0000173188343,2719.99956673112
0,61183.9390356153,5920.99625478054,68.0000200480277,53879.2117131173
0,19020.012627394,9311.99841722814,80.0000292260948,16013.9900932209
0,16800.0140214312,579.999939946533,8.00000366656215,12018.0023447857
0,15407.9979347441,300.999920310599,56.0000173188343,7158.99580914994
0,9557.00813046658,1493.99945365511,122.9999562892,9672.00587772813
0,26870.115498,2205.00046772256,34.0000161630544,23888.919233206
0,131015.380016762,14099.9989232358,207.000042794073,107566.011655219
0,10160.9985623621,426.999994351377,16.9999941510453,8552.99677055218
0,8638.99901205366,11580.9988050218,39.9999818354467,1590.99995491458
0,10196.002391003,730.0003400761,25.0000043782954,8834.99660070085
0,5535.9972469617,2121.00009636831,34.9999978478706,4613.001459748
0,38383.0026016682,43824.1362269904,187.000071648206,11689.0057555742
0,13145.0034549799,8659.00414378448,64.999982456786,11114.0016244238
0,32208.961491446,225.000134504046,71.0000087300671,25030.9915974629
0,179507.092739698,7191.00342937078,308.000066844146,148424.249099212
0,200490.070337272,74875.3492614105,79.0000116551062,158609.42299411
1,14129.9932786634,4521.00231794169,46.9999717196358,7654.99764155775
0,8377.99579837558,4318.9992529828,45.9999817615053,5056.00032446025
0,25073.0790068716,5479.9979179179,95.9999816190895,17894.9888478372
1,8168.99361722076,2536.99858029702,68.0000200480277,4925.99714942076
0,55631.7855809084,39000.1199208248,499.999950788907,32108.9472240057
0,29143.8735535396,7236.99974767384,127.999966218293,27117.1053099818
0,23436.9707236458,785.00022154084,9.00000380397483,21819.0124625221
0,12444.00176683,344.999856124211,22.0000120261203,9747.00171218537
1,11942.9926948462,20439.9990941475,226.000000164463,2953.00034921022
0,18116.003538488,308.000066844146,28.0000137150977,13814.00207695
0,11530.0044590773,849.999702938344,121.000054982807,9030.00319290895
0,11679.9970054561,11530.0044590773,100.999947799046,4274.99836963988
0,11214.0081112728,1272.00032575916,36.0000022155801,9128.00099000548
0,6207.00020847046,41680.1385267425,78.0000135182131,3182.00251728841
0,58573.0516301559,35578.9695747198,141.999991820621,55640.1309746344
0,24068.0376341925,8219.99598822812,49.9999997285927,7486.00083495574
0,46587.1485551248,7221.99854233043,126.000011724114,43565.8994232868
0,70978.3372277657,30051.8649619704,66.0000170262581,32949.1255208893
0,21912.0063338198,3048.00025357368,19.9999945289209,17412.0016946719
0,18893.0044951493,321.999824334748,51.0000187310628,14392.0032291281
0,50179.9086764768,2629.99967079816,53.0000045817377,30689.9340898038
0,11093.9922273779,916.999566940924,18.0000043578696,6446.99880530254
1,4182.00050188779,1709.00054155554,51.0000187310628,1950.99933544442
0,12680.0097890751,1719.99901993138,39.0000138009462,10389.9991262709
0,6759.99885730991,4399.99639241353,40.9999972651235,3971.99990004437
0,9343.0030010379,376.999929332107,28.0000137150977,6953.00347581239
0,11317.0079336052,717.000114290081,19.0000003958376,9993.00872527394
0,25333.9329652207,2883.00087170862,49.9999997285927,25289.8902501353
0,11708.0041234205,1564.00012339138,28.0000137150977,8550.99560345356
0,14262.9992793844,4556.99639421192,57.9999993883077,9691.99920587228
0,17274.0041485203,2140.99938212958,14.9999969834672,12712.0037091517
0,9010.00585107442,357.000077904677,42.9999950251771,7701.99757868525
0,12617.007697284,151.999920831387,14.9999969834672,12233.9970662565
0,15385.0109578757,8017.00347903441,73.9999931028917,16874.9912968774
0,6384.99509334239,2699.99985962047,22.0000120261203,5516.99716827673
