"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Barcelona","Osasuna",1,0,"H",1.33,5,10,1.32,5.5,9.25,1.32,5.82,9.33,1.29,5.5,8.5,1.37,6,10.5
"Ath Madrid","Vallecano",2,1,"H",1.5,4.2,6.5,1.49,4.5,6.25,1.5,4.48,6.83,1.44,4.5,6,1.53,4.7,7.5
"Getafe","Real Madrid",0,2,"A",6,4.2,1.55,6,4.1,1.55,6.44,4.18,1.56,5.8,4.2,1.5,6.6,4.33,1.6
"Ath Bilbao","Mallorca",4,0,"H",1.53,3.9,7,1.55,3.8,6.75,1.56,4,7.13,1.5,3.9,6.5,1.59,4.1,7.4
"Valencia","Almeria",2,1,"H",1.65,3.75,5.5,1.65,3.8,5.25,1.67,3.97,5.35,1.62,3.9,5,1.7,4.1,5.54
"Granada","Las Palmas",1,1,"D",2.3,3.2,3.3,2.3,3.2,3.2,2.32,3.23,3.41,2.2,3.25,3.2,2.35,3.43,3.45
"Alaves","Barcelona",1,3,"A",4.33,3.6,1.85,4.1,3.7,1.85,4.31,3.71,1.87,4,3.7,1.8,4.6,3.88,1.91
"Girona","Sociedad",0,0,"D",2.1,3.4,3.5,2.1,3.4,3.4,2.19,3.42,3.52,2.05,3.5,3.3,2.2,3.63,3.63
"Villarreal","Cadiz",0,0,"D",1.62,4,5.5,1.65,4,5,1.66,4.02,5.4,1.62,4,4.8,1.71,4.2,5.6
"Osasuna","Celta",0,3,"A",2.38,3.1,3.3,2.3,3.1,3.2,2.38,3.16,3.36,2.25,3.2,3.1,2.4,3.31,3.41
"Betis","Getafe",1,1,"D",1.91,3.4,4.2,1.9,3.4,4.2,1.9,3.45,4.57,1.85,3.4,4.2,1.95,3.59,4.6
"Real Madrid","Ath Madrid",1,1,"D",1.73,4,4.5,1.75,4,4.2,1.78,4.06,4.36,1.67,4,4.4,1.81,4.2,4.84
"Vallecano","Sevilla",1,2,"A",2.15,3.3,3.5,2.2,3.25,3.4,2.18,3.36,3.61,2.1,3.4,3.25,2.25,3.5,3.66
"Cadiz","Betis",0,2,"A",3,3,2.6,3,2.95,2.6,3.12,2.97,2.7,3,2.9,2.5,3.12,3.05,2.74
"Alaves","Villarreal",1,1,"D",2.2,3.4,3.3,2.15,3.4,3.25,2.24,3.42,3.4,2.1,3.5,3.2,2.27,3.58,3.45
"Sociedad","Osasuna",0,1,"A",1.85,3.2,5,1.83,3.25,4.8,1.89,3.21,5.12,1.8,3.25,4.75,1.97,3.33,5.4
"Real Madrid","Girona",4,0,"H",1.45,5,6,1.44,5,6.25,1.45,5.12,6.54,1.4,4.8,6.5,1.51,5.3,7.21
"Las Palmas","Valencia",2,0,"H",2.75,3,2.9,2.65,3.1,2.8,2.84,2.91,2.97,2.6,3.1,2.7,2.86,3.1,3.05
"Getafe","Celta",3,2,"H",2.2,3.1,3.6,2.15,3.1,3.6,2.24,3.14,3.71,2.2,3.1,3.4,2.31,3.21,3.72
"Mallorca","Vallecano",2,1,"H",2.3,3,3.4,2.35,3,3.4,2.42,2.97,3.54,2.25,3,3.4,2.44,3.07,3.61
"Sevilla","Ath Madrid",1,0,"H",3.5,3.5,2.05,3.4,3.5,2.1,3.6,3.64,2.08,3.3,3.5,2.05,3.68,3.67,2.15
"Barcelona","Granada",3,3,"D",1.22,7.5,10,1.22,6.75,12,1.2,7.83,12.33,1.18,7,12,1.24,8.3,13
"Almeria","Ath Bilbao",0,0,"D",4.33,4,1.73,4.6,3.8,1.72,4.64,3.99,1.76,4.4,3.9,1.7,5,4.09,1.77
"Villarreal","Getafe",1,1,"D",1.95,3.5,3.8,2,3.4,3.7,2.02,3.58,3.93,1.91,3.6,3.6,2.12,3.65,4.02
"Ath Madrid","Las Palmas",5,0,"H",1.5,4.75,6.5,1.44,4.6,7,1.48,4.58,6.96,1.4,4.6,7,1.5,4.82,7.5
"Osasuna","Cadiz",2,0,"H",1.75,3.3,5.5,1.75,3.4,5.25,1.8,3.41,5.36,1.7,3.5,5,1.88,3.5,5.54
"Celta","Barcelona",1,2,"A",3.8,3.8,1.85,3.8,3.8,1.88,4.09,3.88,1.88,3.7,3.8,1.83,4.2,4.05,1.91
"Valencia","Sevilla",0,0,"D",2.25,3.3,3.3,2.2,3.3,3.3,2.29,3.28,3.44,2.15,3.3,3.25,2.3,3.44,3.47
"Vallecano","Real Madrid",1,1,"D",6,3.75,1.62,5.25,4,1.63,5.43,4.12,1.64,5.5,4,1.57,6,4.27,1.67
"Granada","Almeria",1,1,"D",2.1,3.5,3.4,2.15,3.4,3.3,2.19,3.51,3.43,2,3.5,3.4,2.2,3.65,3.55
"Mallorca","Sociedad",1,2,"A",3.4,2.8,2.5,3.25,2.8,2.5,3.4,2.83,2.6,3.2,2.88,2.45,3.45,2.99,2.64
"Betis","Alaves",0,0,"D",2.1,3.3,3.75,2.05,3.3,3.75,2.15,3.31,3.75,1.95,3.4,3.7,2.16,3.54,3.82
"Ath Bilbao","Girona",3,2,"H",1.91,3.6,4,1.98,3.6,3.6,1.94,3.79,3.88,1.95,3.7,3.4,2.02,3.9,4
"Sociedad","Villarreal",1,3,"A",1.73,3.6,5,1.73,3.7,4.8,1.72,3.84,5.25,1.67,3.7,4.8,1.76,4,5.4
"Barcelona","Getafe",4,0,"H",1.4,5,7,1.41,4.8,7,1.42,5.11,7.29,1.36,4.8,7.5,1.47,5.2,8
"Alaves","Mallorca",1,1,"D",1.91,3,5,1.93,3.1,4.6,1.96,3.09,4.98,1.85,3.1,4.75,2,3.2,5.08
"Almeria","Ath Madrid",2,2,"D",4.75,4,1.7,4.4,3.8,1.75,4.55,4.02,1.76,4.33,3.8,1.73,4.82,4.1,1.81
"Cadiz","Celta",2,2,"D",3.1,3,2.5,2.9,3,2.6,3.15,3.04,2.58,2.9,3,2.5,3.21,3.1,2.63
"Betis","Ath Bilbao",3,1,"H",3.6,3.1,2.2,3.3,3.25,2.2,3.63,3.27,2.21,3.4,3.25,2.1,3.63,3.41,2.26
