"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Betis","Almeria",3,2,"H",1.33,5.5,8.5,1.37,5.25,7.5,1.35,5.27,8.02,1.33,5.5,8.5,1.4,5.7,9
"Barcelona","Sociedad",2,0,"H",1.8,3.6,4.5,1.85,3.6,4.2,1.79,3.74,4.39,1.8,3.75,4.33,1.85,3.91,4.6
"Osasuna","Mallorca",1,1,"D",2.8,2.9,2.88,2.8,2.85,2.87,2.88,2.92,2.96,2.62,3,2.88,2.91,3,3
"Real Madrid","Alaves",5,0,"H",1.22,7.5,11,1.21,6.75,14,1.21,7.35,14.08,1.18,7,15,1.24,7.8,15
"Girona","Villarreal",0,1,"A",1.7,4.5,4.2,1.7,4.4,4.2,1.72,4.58,4.36,1.67,4.5,4.2,1.73,4.72,4.5
"Sevilla","Cadiz",0,1,"A",1.9,3.6,4,1.88,3.5,4.1,1.92,3.69,4.13,1.85,3.7,4,1.95,3.73,4.27
"Vallecano","Granada",2,1,"H",1.65,3.8,5.5,1.66,3.7,5.5,1.68,3.79,5.66,1.62,3.8,5.5,1.74,3.91,6
"Celta","Ath Bilbao",2,1,"H",2.63,3.3,2.7,2.55,3.3,2.7,2.6,3.35,2.73,2.6,3.3,2.7,2.69,3.45,2.83
"Getafe","Ath Madrid",0,3,"A",4.75,3.4,1.83,4.5,3.5,1.8,4.78,3.53,1.78,4.5,3.6,1.8,5,3.7,1.88
"Las Palmas","Betis",2,2,"D",4,3.5,1.91,3.9,3.5,1.93,4.14,3.67,1.92,4,3.5,1.91,4.2,3.71,2.01
"Almeria","Barcelona",0,2,"A",6.5,5,1.44,6.25,5.25,1.42,6.79,5.43,1.41,7,5.5,1.36,7.2,5.6,1.46
"Sociedad","Valencia",1,0,"H",1.6,3.9,5.75,1.63,3.7,5.75,1.66,3.75,6,1.62,3.7,5.8,1.71,3.9,6.3
"Alaves","Getafe",1,0,"H",2,3.2,4.1,2.05,3.2,3.9,2.07,3.18,4.21,2,3.25,3.9,2.11,3.34,4.3
"Ath Bilbao","Sevilla",2,0,"H",1.7,3.9,4.75,1.75,3.75,4.6,1.7,3.79,4.92,1.67,4,4.75,1.79,4.03,5.2
"Ath Madrid","Osasuna",1,4,"A",1.4,4.5,8,1.42,4.8,7.25,1.39,4.87,7.58,1.4,4.8,7.5,1.46,5.2,8.1
"Barcelona","Vallecano",3,0,"H",1.25,6,12,1.26,6.25,10.5,1.26,5.94,9.7,1.25,5.8,11,1.31,6.5,12
"Betis","Sociedad",0,2,"A",2.55,3.2,2.88,2.5,3.1,2.95,2.66,3.06,2.89,2.5,3.1,3,2.74,3.25,3
"Cadiz","Las Palmas",0,0,"D",1.8,3.5,4.75,1.8,3.4,4.6,1.85,3.43,4.55,1.8,3.5,4.5,1.91,3.58,5
"Granada","Celta",1,2,"A",3.7,3.6,2,3.4,3.5,2.1,3.81,3.53,1.98,3.4,3.7,2,3.84,3.85,2.12
"Mallorca","Almeria",2,2,"D",1.5,4.1,7,1.5,4,6.5,1.48,4.23,6.88,1.5,4.2,7,1.54,4.4,7.3
"Valencia","Girona",1,3,"A",3,3.5,2.3,2.85,3.5,2.35,3.05,3.58,2.25,2.75,3.6,2.38,3.19,3.75,2.44
"Villarreal","Real Madrid",4,4,"D",3.2,3.75,2.05,3.25,3.9,2.05,3.2,3.85,2.09,3.2,4,2,3.4,4.16,2.18
"Girona","Granada",7,0,"H",1.22,6.5,12,1.24,6.75,11,1.22,7.22,10.68,1.2,7,12,1.25,7.7,13
"Osasuna","Villarreal",1,1,"D",2.9,3.6,2.3,2.85,3.75,2.25,2.9,3.78,2.33,2.88,3.75,2.25,3,3.86,2.37
"Sociedad","Ath Madrid",0,2,"A",2.4,3.3,3,2.37,3.4,2.87,2.42,3.49,2.96,2.38,3.5,2.8,2.47,3.6,3.02
"Almeria","Cadiz",6,1,"H",2.05,3.6,3.5,2.15,3.5,3.25,2.08,3.63,3.52,2.05,3.6,3.4,2.19,3.74,3.59
"Vallecano","Ath Bilbao",0,1,"A",2.88,3.5,2.38,2.85,3.5,2.37,2.87,3.54,2.45,2.8,3.5,2.38,2.97,3.62,2.49
"Real Madrid","Betis",0,0,"D",1.33,6,7.5,1.36,5.5,7,1.35,5.67,7.79,1.36,5.5,7,1.42,6,8
"Getafe","Mallorca",1,2,"A",2.3,3.25,3.2,2.3,3.2,3.25,2.35,3.21,3.31,2.25,3.25,3.2,2.4,3.39,3.36
"Celta","Valencia",2,2,"D",1.95,3.5,3.8,2,3.5,3.7,1.96,3.57,3.99,1.95,3.5,3.8,2.02,3.66,4.1
"Las Palmas","Alaves",1,1,"D",2.4,3.3,3,2.45,3.3,2.87,2.53,3.34,2.91,2.4,3.4,2.88,2.56,3.45,3
"Sevilla","Barcelona",1,2,"A",4,4,1.8,3.7,4,1.87,3.98,4.11,1.83,3.8,4.2,1.8,4.13,4.33,1.87
